Date,Clicks,Impressions,CTR,Position
2026-02-11,0,56,0%,7.6
2026-02-12,1,45,2.22%,7.1
2026-02-13,0,27,0%,7.3
2026-02-14,1,23,4.35%,7.8
2026-02-15,6,35,17.14%,7.4
2026-02-16,2,73,2.74%,6.9
2026-02-17,2,18,11.11%,8.9
2026-02-18,2,21,9.52%,6.9
2026-02-19,3,28,10.71%,4.3
2026-02-20,0,25,0%,7.5
2026-02-21,0,32,0%,7.8
2026-02-22,3,66,4.55%,8.3
2026-02-23,3,108,2.78%,8.7
2026-02-24,5,128,3.91%,7.9
2026-02-25,5,62,8.06%,7
2026-02-26,3,30,10%,9.7
2026-02-27,1,24,4.17%,9.4
2026-02-28,2,56,3.57%,8.3
2026-03-01,2,294,0.68%,9.3
2026-03-02,2,215,0.93%,9.4
2026-03-03,6,237,2.53%,9.4
2026-03-04,3,206,1.46%,8.7
2026-03-05,2,247,0.81%,9.6
2026-03-06,3,93,3.23%,9.4
2026-03-07,3,63,4.76%,8.8
2026-03-08,2,100,2%,8.5
2026-03-09,2,161,1.24%,9.3
2026-03-10,3,184,1.63%,9
2026-03-11,3,210,1.43%,8
2026-03-12,11,292,3.77%,7.5
2026-03-13,3,125,2.4%,8.1
2026-03-14,3,141,2.13%,7.2
2026-03-15,7,302,2.32%,7.7
2026-03-16,5,349,1.43%,7.7
2026-03-17,6,335,1.79%,7.9
2026-03-18,5,311,1.61%,7.9
2026-03-19,1,227,0.44%,7.7
2026-03-20,2,136,1.47%,7.4
2026-03-21,1,116,0.86%,6.6
2026-03-22,1,200,0.5%,6.7
2026-03-23,0,220,0%,8.2
2026-03-24,2,229,0.87%,8.5
2026-03-25,2,187,1.07%,8.2
2026-03-26,2,242,0.83%,8.5
2026-03-27,1,130,0.77%,7.9
2026-03-28,2,157,1.27%,8
2026-03-29,2,297,0.67%,8.4
2026-03-30,6,321,1.87%,8.1
2026-03-31,7,218,3.21%,7.9
2026-04-01,2,121,1.65%,7.4
2026-04-02,3,69,4.35%,6.8
2026-04-03,1,56,1.79%,7.8
2026-04-04,0,59,0%,8.1
2026-04-05,3,62,4.84%,8.8
2026-04-06,4,173,2.31%,7.9
2026-04-07,3,245,1.22%,8.4
2026-04-08,3,167,1.8%,7.9
2026-04-09,1,75,1.33%,7.6
2026-04-10,1,32,3.12%,11.6
2026-04-11,2,27,7.41%,8.7
2026-04-12,2,54,3.7%,6.5
2026-04-13,7,66,10.61%,10
2026-04-14,0,51,0%,7.4
2026-04-15,6,69,8.7%,6.1
2026-04-16,4,59,6.78%,9.1
2026-04-17,1,19,5.26%,6.5
2026-04-18,1,6,16.67%,4.5
2026-04-19,1,19,5.26%,9.5
2026-04-20,2,25,8%,6.9
2026-04-21,3,29,10.34%,7.1
2026-04-22,4,23,17.39%,7
2026-04-23,1,24,4.17%,6.6
2026-04-24,5,18,27.78%,4.2
2026-04-25,0,6,0%,6.5
2026-04-26,0,16,0%,7.7
2026-04-27,5,31,16.13%,4.8
2026-04-28,2,16,12.5%,6.9
2026-04-29,1,31,3.23%,13.9
2026-04-30,1,23,4.35%,12
2026-05-01,0,28,0%,12.4
2026-05-02,2,27,7.41%,8.7
2026-05-03,3,94,3.19%,7.3
2026-05-04,0,121,0%,8.7
2026-05-05,17,227,7.49%,7.9
2026-05-06,5,96,5.21%,9.1
2026-05-07,1,196,0.51%,9.7
2026-05-08,4,169,2.37%,8.4
2026-05-09,1,119,0.84%,8.3
2026-05-10,1,305,0.33%,8.4
